"Gene","Scaffold","Gene_Start","Gene_End","Score","Strand","note","Function","Additional_info","Gene_size","A_thaliana_orthologue"
"g18960","scaffold_74",675763,676552,0.3,"-",".","50S ribosomal protein L12-C","ahrd-qc=***",789,"AT3G27830"
"g18961","scaffold_74",677187,680142,0.14,"-",".","Monodehydroascorbate reductase","ahrd-qc=***",2955,"AT3G27820"
"g18964","scaffold_75",28116,29300,0.19,"+",".","Photosystem I chlorophyll a/b-binding protein 5%2C chloroplastic","ahrd-qc=***",1184,"AT1G45474"
"g18965","scaffold_75",29305,32021,0.09,"-",".","Protein WEAK CHLOROPLAST MOVEMENT UNDER BLUE LIGHT-like 2","ahrd-qc=***",2716,"AT1G45545"
"g18966","scaffold_75",32801,37221,0.02,"-",".","Leucine-rich-repeat receptor-like protein","ahrd-qc=***",4420,"AT1G45616"
"g18967","scaffold_75",54706,57018,0.29,"+",".","Mitochondrial transcription termination factor family protein","ahrd-qc=***",2312,"AT5G55580"
"g18968","scaffold_75",59016,60753,0.29,"+",".","CAA30379.1 protein%2C putative","ahrd-qc=***",1737,"AT1G45688"
"g18969","scaffold_75",65156,66813,0.08,"+",".","S-ribonuclease binding protein 1","ahrd-qc=***",1657,"AT1G45976"
"g18970","scaffold_75",99466,101065,0.11,"+",".","Heat stress transcription factor B-4","ahrd-qc=***",1599,"AT1G46264"
"g18971","scaffold_75",104548,105921,0.34,"-",".","WUSCHEL-related homeobox 4","ahrd-qc=***",1373,"AT1G46480"
"g18972","scaffold_75",138145,138791,0.41,"-",".","Ethylene-responsive transcription factor RAP2-1","ahrd-qc=***",646,"AT1G46768"
"g18973","scaffold_75",141006,142612,0.13,"+",".","BnaA03g22440D protein","ahrd-qc=***",1606,NA
"g18974","scaffold_75",143418,145131,0.1,"-",".","Vier F-box protein 1","ahrd-qc=***",1713,"AT1G47056"
"g18976","scaffold_75",161026,161976,0.17,"+",".","Unknown protein","",950,NA
"g18977","scaffold_75",173501,176209,0.86,"-",".","Cysteine proteinase RD21a","ahrd-qc=***",2708,"AT1G47128"
"g18979","scaffold_75",191031,192779,0.07,"-",".","WPP domain-containing protein 2","ahrd-qc=***",1748,"AT1G47200"
"g18980","scaffold_75",195324,197207,0.19,"+",".","Cyclin-A3-2","ahrd-qc=***",1883,"AT1G47210"
"g18981","scaffold_75",199064,200780,0.54,"+",".","Cyclin-A3-3","ahrd-qc=***",1716,"AT1G47220"
"g18982","scaffold_75",202794,205027,0.45,"+",".","Cyclin-A3-4","ahrd-qc=***",2233,"AT1G47230"
"g18983","scaffold_75",205101,207599,0.5,"-",".","Divalent metal transporter 1","ahrd-qc=***",2498,"AT1G47240"
"g18984","scaffold_75",209314,211378,0.18,"+",".","Proteasome subunit alpha type-1-B","ahrd-qc=***",2064,"AT1G47250"
"g18985","scaffold_75",211575,213769,0.31,"-",".","GAMMA carbonic anhydrase","ahrd-qc=***",2194,"AT1G47260"
"g18986","scaffold_75",214954,217165,0.24,"+",".","Tubby-like F-box protein 6","ahrd-qc=***",2211,"AT1G47270"
"g18987","scaffold_75",217564,221071,0.18,"+",".","CBS domain-containing protein CBSX3%2C mitochondrial","ahrd-qc=*-*",3507,"AT1G47271"
"g18988","scaffold_75",221296,222769,0.42,"-",".","Unknown protein","",1473,"AT1G47280"
"g18989","scaffold_75",223684,225712,0.53,"+",".","Peroxidase","ahrd-qc=***",2028,NA
"g18991","scaffold_75",246366,247569,0.19,"-",".","Unknown protein","",1203,NA
"g18996","scaffold_75",269094,272719,0.11,"+",".","Plant transposase (Ptta/En/Spm family)","ahrd-qc=***",3625,"AT1G40087"
"g18997","scaffold_75",274864,277778,0.54,"+",".","DUF21 domain-containing protein At1g47330","ahrd-qc=***",2914,"AT1G47330"
"g18998","scaffold_75",277805,279379,0.11,"-",".","F-box protein At1g47340","ahrd-qc=***",1574,"AT1G47340"
"g18999","scaffold_75",283044,286707,0.29,"+",".","Phosphatase 2C family protein","ahrd-qc=***",3663,"AT1G47380"
"g19000","scaffold_75",299124,300455,0.34,"+",".","F-box family protein","ahrd-qc=***",1331,"AT1G47390"
"g19001","scaffold_75",304864,305275,0.69,"+",".","Unknown protein","",411,NA
"g19002","scaffold_75",308244,308651,0.41,"+",".","Unknown protein","",407,NA
"g19003","scaffold_75",310724,311092,0.14,"+",".","Unknown protein","",368,NA
"g19006","scaffold_75",330824,332364,0.24,"+",".","At1g47410","ahrd-qc=***",1540,"AT1G47410"
"g19007","scaffold_75",332367,334079,0.35,"-",".","Succinate dehydrogenase subunit 5%2C mitochondrial","ahrd-qc=***",1712,"AT1G47420"
"g19008","scaffold_75",337264,338953,0.35,"+",".","CXE carboxylesterase","ahrd-qc=***",1689,"AT1G47480"
"g19009","scaffold_75",347124,349578,0.01,"+",".","Transposon Tf2-8 polyprotein","ahrd-qc=*-*",2454,NA
"g19010","scaffold_75",353966,356907,0.06,"+",".","Polyadenylate-binding protein RBP47C","ahrd-qc=***",2941,NA
"g19011","scaffold_75",362886,365709,0.33,"+",".","Polyadenylate-binding protein RBP47C","ahrd-qc=***",2823,"AT1G47500"
"g19013","scaffold_75",375093,379251,0.3,"-",".","Type IV inositol polyphosphate 5-phosphatase 11","ahrd-qc=***",4158,"AT1G47510"
"g19015","scaffold_75",394066,399230,0.08,"+",".","Protein DETOXIFICATION 33","ahrd-qc=***",5164,"AT1G47530"
"g19018","scaffold_75",426556,433250,0.22,"+",".","Exocyst complex component SEC3A","ahrd-qc=***",6694,"AT1G47550"
"g19019","scaffold_75",453516,458340,0.14,"+",".","E3 ubiquitin-protein ligase CHFR","ahrd-qc=***",4824,NA
"g19022","scaffold_75",464886,466610,0.09,"+",".","Unknown protein","",1724,NA
"g19024","scaffold_75",480196,485289,0.12,"+",".","E3 ubiquitin-protein ligase CHFR","ahrd-qc=***",5093,"AT1G47570"
"g19025","scaffold_75",486836,489130,0.15,"+",".","Pentatricopeptide repeat-containing protein DWY1%2C chloroplastic","ahrd-qc=***",2294,"AT1G47578"
"g19026","scaffold_75",489134,492921,0.14,"-",".","BnaCnng41760D protein","ahrd-qc=***",3787,"AT1G47603"
"g19027","scaffold_75",497840,500571,0.06,"-",".","F27F5.27","ahrd-qc=***",2731,NA
"g19029","scaffold_75",514870,519631,0.06,"-",".","Reverse transcriptase%2C putative%3B 16838-20266","ahrd-qc=***",4761,NA
"g19030","scaffold_75",527013,528409,0.31,"+",".","WD-40 repeat family protein","ahrd-qc=***",1396,"AT1G47610"
"g19031","scaffold_75",539113,540748,0.45,"-",".","Cytochrome p450-like protein","ahrd-qc=***",1635,NA
"g19032","scaffold_75",550408,552058,0.12,"-",".","Cytochrome p450-like protein","ahrd-qc=***",1650,"AT1G47620"
"g19033","scaffold_75",552430,554458,0.31,"-",".","Transmembrane protein 147","ahrd-qc=***",2028,"AT1G47640"
"g19034","scaffold_75",555243,556135,0.56,"+",".","Dof zinc finger protein DOF1.6","ahrd-qc=***",892,"AT1G47655"
"g19035","scaffold_75",572397,575348,0.29,"-",".","Lysine histidine transporter-like 8","ahrd-qc=***",2951,"AT1G47670"
"g19037","scaffold_75",601783,603901,0.1,"+",".","Signal peptidase I%2C putative","ahrd-qc=***",2118,"AT1G47310"
"g19038","scaffold_75",612333,614269,0.55,"+",".","Serpin-ZX","ahrd-qc=***",1936,"AT1G47710"
"g19039","scaffold_75",616415,618188,0.38,"-",".","Organellar single-stranded","ahrd-qc=***",1773,"AT1G47720"
"g19040","scaffold_75",622063,625057,0.08,"+",".","PPPDE putative thiol peptidase family protein","ahrd-qc=***",2994,"AT1G47740"
"g19041","scaffold_75",625075,626128,0.07,"-",".","Peroxisomal membrane protein 11A","ahrd-qc=***",1053,"AT1G47750"
"g19042","scaffold_75",630943,631865,0.4,"+",".","MADS-box protein","ahrd-qc=***",922,"AT1G47760"
"g19043","scaffold_75",639804,640598,0.04,"-",".","Unknown protein","",794,NA
"g19044","scaffold_75",648473,649741,0.42,"+",".","Unknown protein","",1268,NA
"g19045","scaffold_76",1,4821,0.1,"-",".","Peptidyl-prolyl cis-trans isomerase G isoform 1","ahrd-qc=***",4820,"AT5G08450"
"g19046","scaffold_76",5126,14815,0.12,"+",".","ATP-dependent zinc metalloprotease FtsH 1","ahrd-qc=***",9689,"AT5G08470"
"g19047","scaffold_76",15516,17258,0.23,"+",".","VQ motif-containing protein 31","ahrd-qc=***",1742,"AT5G08480"
"g19050","scaffold_76",23199,26891,0.02,"-",".","Pentatricopeptide repeat-containing protein","ahrd-qc=***",3692,"AT5G08490"
"g19051","scaffold_76",27206,30906,0.23,"+",".","Cleft lip and palate associated transmembrane protein-like","ahrd-qc=***",3700,"AT5G08500"
"g19052","scaffold_76",31976,37097,0.15,"+",".","Pentatricopeptide repeat-containing protein","ahrd-qc=***",5121,"AT5G08510"
"g19054","scaffold_76",54135,57171,0.49,"-",".","Myb family transcription factor","ahrd-qc=***",3036,"AT5G08520"
"g19055","scaffold_76",60769,63311,0.29,"-",".","NADH dehydrogenase","ahrd-qc=***",2542,"AT5G08530"
"g19056","scaffold_76",63526,64840,0.21,"+",".","RNA-binding protein 5","ahrd-qc=*-*",1314,"AT5G08535"
"g19057","scaffold_76",65236,66992,0.21,"+",".","Ribosomal RNA small subunit methyltransferase J","ahrd-qc=***",1756,"AT5G08540"
"g19058","scaffold_76",67134,71841,0.17,"-",".","GC-rich sequence DNA-binding factor-like protein ILP1","ahrd-qc=***",4707,"AT5G08550"
"g19059","scaffold_76",72383,76111,0.35,"-",".","WD-repeat protein-like","ahrd-qc=***",3728,"AT5G08560"
"g19060","scaffold_76",77606,79137,0.15,"+",".","Transcription elongation factor SPT4 homolog 1","ahrd-qc=***",1531,"AT5G08565"
"g19061","scaffold_76",79786,82321,0.16,"+",".","Pyruvate kinase","ahrd-qc=***",2535,"AT5G08570"
"g19062","scaffold_76",82352,84781,0.89,"-",".","Calcium-binding EF hand family protein","ahrd-qc=***",2429,"AT5G08580"
"g19065","scaffold_76",88646,94169,0.11,"+",".","U3 small nucleolar RNA-associated protein%2C putative","ahrd-qc=***",5523,"AT5G08600"
"g19074","scaffold_76",113936,117730,0.1,"+",".","ATP-dependent RNA helicase","ahrd-qc=*-*",3794,"AT5G08610"
"g19075","scaffold_76",117896,121171,0.31,"+",".","ATP-dependent RNA helicase","ahrd-qc=***",3275,"AT5G08620"
"g19076","scaffold_76",122592,127481,0.29,"-",".","DDT domain-containing protein","ahrd-qc=***",4889,"AT5G08630"
"g19077","scaffold_76",128666,130057,0.1,"+",".","Flavone synthase","ahrd-qc=***",1391,"AT5G08640"
"g19078","scaffold_76",130942,137721,0.23,"-",".","Elongation factor 4","ahrd-qc=***",6779,"AT5G08650"
"g19079","scaffold_76",138406,142525,0.34,"+",".","BnaAnng06010D protein","ahrd-qc=***",4119,"AT5G08660"
"g19080","scaffold_76",142667,145701,0.33,"-",".","ATP synthase subunit beta","ahrd-qc=***",3034,"AT5G08670"
"g19082","scaffold_76",150622,154031,0.16,"-",".","Regulator of chromosome condensation (RCC1) family protein","ahrd-qc=***",3409,"AT5G08710"
"g19083","scaffold_76",158004,161921,0.22,"-",".","Cyclase/dehydrase family protein","ahrd-qc=***",3917,"AT5G08720"
"g19084","scaffold_76",161971,164061,0.35,"-",".","IBR domain-containing protein","ahrd-qc=***",2090,"AT5G08730"
"g19085","scaffold_76",165118,168031,0.35,"-",".","NADH dehydrogenase","ahrd-qc=***",2913,"AT5G08740"
"g19086","scaffold_76",172786,175230,0.09,"+",".","RING/FYVE/PHD zinc finger superfamily protein","ahrd-qc=***",2444,"AT5G08750"
"g19087","scaffold_76",181055,182122,0.27,"-",".","BnaC09g47270D protein","ahrd-qc=***",1067,"AT5G08770"
"g19088","scaffold_76",182317,184443,0.13,"+",".","Histone H1/H5 family protein","ahrd-qc=***",2126,"AT5G08780"
"g19089","scaffold_76",184483,185832,0.62,"-",".","NAC-domain protein 5-7","ahrd-qc=***",1349,"AT5G08790"
"g19091","scaffold_76",195227,197984,0.81,"+",".","Amino acid permease 2","ahrd-qc=***",2757,"AT5G09220"
"g19094","scaffold_76",211717,213881,0.05,"+",".","E3 ubiquitin-protein ligase arih1","ahrd-qc=*-*",2164,"AT5G07640"
"g19095","scaffold_76",218714,219152,0.48,"-",".","Ubiquitin","ahrd-qc=***",438,NA
"g19096","scaffold_76",219658,220822,0.87,"-",".","Unknown protein","",1164,"AT5G09225"
"g19097","scaffold_76",221007,223509,0.11,"+",".","NAD-dependent deacetylase","ahrd-qc=***",2502,"AT5G09230"
"g19098","scaffold_76",223528,224762,0.14,"-",".","RNA polymerase II transcriptional coactivator KIWI","ahrd-qc=***",1234,"AT5G09240"
"g19099","scaffold_76",225077,226432,0.41,"-",".","RNA polymerase II transcriptional coactivator KIWI","ahrd-qc=***",1355,"AT5G09250"
"g19100","scaffold_76",226607,228620,0.45,"+",".","Vacuolar protein sorting-associated protein 20 homolog 2","ahrd-qc=***",2013,"AT5G09260"
"g19101","scaffold_76",228847,230089,0.26,"+",".","Unknown protein","",1242,"AT5G09270"
"g19102","scaffold_76",230272,231832,1.12,"-",".","Pectate lyase","ahrd-qc=***",1560,"AT5G09280"
"g19103","scaffold_76",232347,234162,0.18,"+",".","3'(2')%2C5'-bisphosphate nucleotidase-like protein","ahrd-qc=***",1815,"AT5G09290"
"g19104","scaffold_76",234178,236762,0.08,"-",".","2-oxoisovalerate dehydrogenase subunit alpha 2%2C mitochondrial","ahrd-qc=***",2584,"AT5G09300"
"g19105","scaffold_76",237790,239172,0.08,"-",".","Gamma-secretase subunit PEN-2","ahrd-qc=***",1382,"AT5G09310"
"g19106","scaffold_76",239348,242562,0.09,"-",".","Vacuolar sorting protein 9 domain-containing protein","ahrd-qc=***",3214,"AT5G09320"
"g19107","scaffold_76",242893,245622,0.46,"-",".","NAC domain-containing protein 82","ahrd-qc=***",2729,"AT5G09330"
"g19108","scaffold_76",245953,253132,0.16,"-",".","Phosphatidylinositol 4-kinase","ahrd-qc=***",7179,"AT5G09350"
"g19109","scaffold_76",253596,258122,0.65,"-",".","Laccase-14","ahrd-qc=***",4526,"AT5G09360"
"g19110","scaffold_76",258754,261052,0.12,"-",".","DNA-directed RNA polymerase III RPC4 family protein","ahrd-qc=***",2298,"AT5G09380"
"g19111","scaffold_76",261147,263611,0.4,"+",".","CD2 antigen cytoplasmic tail-binding protein 2","ahrd-qc=***",2464,"AT5G09390"
"g19112","scaffold_76",263927,268381,0.07,"+",".","Potassium transporter 7","ahrd-qc=***",4454,"AT5G09400"
"g19113","scaffold_76",268947,275085,0.22,"+",".","Calmodulin-binding transcription activator 1","ahrd-qc=***",6138,"AT5G09410"
"g19114","scaffold_76",276427,280107,0.19,"+",".","Glutamyl-tRNA(Gln) amidotransferase subunit A","ahrd-qc=***",3680,"AT5G09420"
"g19115","scaffold_76",280337,281664,0.2,"+",".","Alpha/beta-hydrolase superfamily protein","ahrd-qc=***",1327,"AT5G09430"
"g19116","scaffold_76",293257,294366,0.89,"+",".","Phosphate-responsive family protein","ahrd-qc=***",1109,"AT5G09440"
"g19118","scaffold_76",298147,300011,0.28,"+",".","Pentatricopeptide repeat-containing protein At5g09450%2C mitochondrial","ahrd-qc=***",1864,"AT5G09450"
"g19119","scaffold_76",300176,303322,0.45,"-",".","Transcription factor/ transcription regulator","ahrd-qc=***",3146,"AT5G09460"
"g19120","scaffold_76",308799,310252,0.11,"-",".","Mitochondrial carrier protein","ahrd-qc=***",1453,"AT5G09470"
"g19121","scaffold_76",312433,313142,0.44,"-",".","Unknown protein","",709,"AT5G09480"
"g19122","scaffold_76",313649,314772,0.43,"-",".","30S ribosomal protein S19","ahrd-qc=***",1123,"AT5G09490"
"g19123","scaffold_76",315405,316442,0.25,"-",".","30S ribosomal protein S19","ahrd-qc=***",1037,"AT5G09500"
"g19124","scaffold_76",316902,318112,0.5,"-",".","30S ribosomal protein S19","ahrd-qc=***",1210,"AT5G09510"
"g19125","scaffold_76",318677,319512,0.29,"-",".","Periaxin","ahrd-qc=*-*",835,"AT5G09520"
"g19126","scaffold_76",320597,322362,0.34,"-",".","Periaxin-like protein","ahrd-qc=***",1765,"AT5G09530"
"g19127","scaffold_76",323180,324392,0.18,"-",".","Chaperone DnaJ-domain containing protein","ahrd-qc=***",1212,"AT5G09540"
"g19128","scaffold_76",324847,327774,0.51,"+",".","Rab GDP-dissociation inhibitor","ahrd-qc=***",2927,"AT5G09550"
"g19129","scaffold_76",328217,331113,0.17,"+",".","RNA-binding KH domain-containing protein","ahrd-qc=***",2896,"AT5G09560"
"g19130","scaffold_76",331997,333581,0.17,"+",".","Unknown protein","",1584,"AT5G09570"
"g19131","scaffold_76",333937,338851,0.02,"+",".","Heat shock 70 kDa protein%2C mitochondrial","ahrd-qc=*-*",4914,"AT5G09580"
"g19132","scaffold_76",339297,342369,0.2,"+",".","Chaperone DnaK","ahrd-qc=***",3072,"AT5G09590"
"g19133","scaffold_76",342687,344280,0.73,"+",".","Succinate dehydrogenase subunit 3-2%2C mitochondrial","ahrd-qc=***",1593,"AT5G09600"
"g19134","scaffold_76",344737,346251,0.54,"+",".","Pumilio homolog 18","ahrd-qc=***",1514,"AT5G09610"
"g19135","scaffold_76",346715,348742,0.28,"-",".","Octicosapeptide/Phox/Bem1p family protein%2C putative isoform 1","ahrd-qc=*-*",2027,"AT5G09620"
"g19136","scaffold_76",349201,350932,0.21,"-",".","At5g09630","ahrd-qc=***",1731,"AT5G09630"
"g19137","scaffold_76",354019,357069,0.08,"+",".","Serine carboxypeptidase-like 19","ahrd-qc=***",3050,"AT5G09640"
"g19138","scaffold_76",357187,359004,0.29,"-",".","Inorganic pyrophosphatase family protein","ahrd-qc=***",1817,"AT5G09650"
"g19139","scaffold_76",359220,361474,0.25,"-",".","Malate dehydrogenase","ahrd-qc=***",2254,"AT5G09660"
"g19140","scaffold_76",361728,364854,0.53,"-",".","Loricrin-like protein","ahrd-qc=***",3126,"AT5G09670"
"g19141","scaffold_76",365873,367294,0.51,"-",".","Cytochrome b5 reductase 4","ahrd-qc=***",1421,"AT5G09680"
"g19143","scaffold_76",374915,377964,0.73,"-",".","Beta-D-xylosidase 3","ahrd-qc=***",3049,"AT5G09730"
"g19144","scaffold_76",380553,383434,0.28,"-",".","Histone acetyltransferase","ahrd-qc=***",2881,"AT5G09740"
"g19145","scaffold_76",385084,385864,0.2,"-",".","Transcription factor HEC3","ahrd-qc=***",780,"AT5G09750"
"g19146","scaffold_76",392149,394353,0.42,"+",".","Pectinesterase","ahrd-qc=***",2204,"AT5G09760"
"g19147","scaffold_76",394906,396344,0.64,"-",".","50S ribosomal protein L17","ahrd-qc=***",1438,"AT5G09770"
"g19148","scaffold_76",396500,397664,0.13,"-",".","B3 domain-containing protein REM23","ahrd-qc=***",1164,"AT5G09780"
"g19149","scaffold_76",397716,400874,0.17,"-",".","Histone-lysine N-methyltransferase ATXR5","ahrd-qc=***",3158,"AT5G09790"
"g19150","scaffold_76",402906,404354,0.2,"-",".","U-box domain-containing protein","ahrd-qc=***",1448,"AT5G09800"
"g19151","scaffold_76",409019,409638,0.39,"+",".","Protein IDA-LIKE 3","ahrd-qc=***",619,"AT5G09805"
"g19152","scaffold_76",417729,420075,0.95,"+",".","Actin-7","ahrd-qc=***",2346,"AT5G09810"
"g19153","scaffold_76",422960,424494,0.13,"-",".","Structural molecule","ahrd-qc=***",1534,"AT5G09820"
"g19154","scaffold_76",424696,425794,0.8,"-",".","Protein BOLA2","ahrd-qc=***",1098,"AT5G09830"
"g19155","scaffold_76",425989,429113,0.56,"+",".","Endonuclease or glycosyl hydrolase%2C putative isoform 1","ahrd-qc=***",3124,"AT5G09840"
"g19156","scaffold_76",429756,432854,0.19,"-",".","Transcription elongation factor (TFIIS) family protein","ahrd-qc=***",3098,"AT5G09850"
"g19158","scaffold_76",436279,440553,0.48,"+",".","THO complex subunit 1","ahrd-qc=***",4274,"AT5G09860"
"g19159","scaffold_76",442729,448063,0.27,"+",".","Cellulose synthase","ahrd-qc=***",5334,"AT5G09870"
"g19160","scaffold_76",449259,449793,0.05,"+",".","Unknown protein","",534,"AT5G09876"
"g19161","scaffold_76",447694,453044,0.13,"-",".","Splicing factor-like protein","ahrd-qc=***",5350,"AT5G09880"
"g19163","scaffold_76",455198,458534,0.26,"-",".","Protein kinase","ahrd-qc=***",3336,"AT5G09890"
"g19164","scaffold_76",458829,462114,0.09,"-",".","26S proteasome non-ATPase regulatory subunit 12 homolog A","ahrd-qc=***",3285,"AT5G09900"
"g19165","scaffold_76",462309,464604,0.26,"+",".","RAB%2C member of RAS oncogene family-like 3","ahrd-qc=***",2295,"AT5G09910"
"g19166","scaffold_76",466259,467673,0.23,"+",".","DNA-directed RNA polymerase II subunit RPB4","ahrd-qc=***",1414,"AT5G09920"
"g19167","scaffold_76",467692,470434,0.59,"-",".","ABC transporter ATP-binding protein","ahrd-qc=***",2742,"AT5G09930"
"g19168","scaffold_76",471099,472057,0.26,"+",".","AT5G09940-like protein","ahrd-qc=***",958,"AT5G09940"
"g19169","scaffold_76",472689,476694,0.13,"-",".","Pentatricopeptide repeat-containing protein","ahrd-qc=***",4005,"AT5G09950"
"g19170","scaffold_76",476929,478427,0.23,"+",".","AT5G09960-like protein","ahrd-qc=***",1498,"AT5G09960"
"g19171","scaffold_76",493299,495394,0.39,"+",".","Cytochrome P450%2C putative","ahrd-qc=***",2095,"AT5G09970"
"g19172","scaffold_76",497859,498621,0.1,"+",".","Unknown protein","",762,"AT5G09976"
"g19173","scaffold_76",499619,500822,0.18,"+",".","Elicitor peptide 7","ahrd-qc=***",1203,"AT5G09978"
"g19174","scaffold_76",501133,504734,0.02,"-",".","General transcription factor 2-related zinc finger protein","ahrd-qc=***",3601,"AT1G41920"
"g19175","scaffold_76",506369,506875,0.16,"+",".","Elicitor peptide 5","ahrd-qc=***",506,"AT5G09990"
"g19176","scaffold_76",506900,508184,0.33,"-",".","AT5G09995-like protein","ahrd-qc=***",1284,"AT5G09995"
"g19177","scaffold_76",510369,514093,0.18,"+",".","Myosin-H heavy chain isoform 1","ahrd-qc=***",3724,"AT5G10010"
"g19178","scaffold_76",516179,520004,0.4,"+",".","Receptor protein kinase%2C putative","ahrd-qc=***",3825,"AT5G10020"
"g19179","scaffold_76",520720,523704,0.14,"-",".","Transcription factor TGA4","ahrd-qc=***",2984,"AT5G10030"
"g19180","scaffold_76",527779,528215,0.91,"+",".","Unknown protein","",436,"AT5G10040"
"g19181","scaffold_76",528639,530167,0.43,"+",".","Short-chain dehydrogenase/reductase family protein","ahrd-qc=***",1528,"AT5G10050"
"g19182","scaffold_76",530231,532794,0.29,"-",".","Regulation of nuclear pre-mRNA domain-containing 1B","ahrd-qc=***",2563,"AT5G10060"
"g19183","scaffold_76",533027,534844,0.78,"-",".","AT5G10070-like protein","ahrd-qc=***",1817,"AT5G10070"
"g19184","scaffold_76",535199,537853,0.81,"+",".","Aspartyl protease family protein","ahrd-qc=***",2654,"AT5G10080"
"g19185","scaffold_76",538083,540334,0.32,"-",".","Tetratricopeptide repeat-containing protein","ahrd-qc=***",2251,"AT5G10090"
"g19186","scaffold_76",543866,546556,0.09,"+",".","Trehalose 6-phosphate phosphatase","ahrd-qc=***",2690,"AT5G10100"
"g19187","scaffold_76",557333,559221,0.66,"-",".","AT5G10110-like protein","ahrd-qc=***",1888,"AT5G10110"
"g19188","scaffold_76",562416,563936,0.04,"+",".","Ethylene insensitive 3 family protein","ahrd-qc=***",1520,"AT5G10120"
"g19189","scaffold_76",564006,564481,0.14,"-",".","Unknown protein","",475,NA
"g19190","scaffold_76",572727,578441,0.23,"-",".","MADS-box flowering locus C","ahrd-qc=***",5714,"AT5G10140"
"g19193","scaffold_76",591953,593501,0.16,"-",".","AT5G10110-like protein","ahrd-qc=***",1548,NA
"g19194","scaffold_76",594358,595361,0.41,"-",".","Pollen ole e 1 allergen and extensin family protein","ahrd-qc=***",1003,"AT5G10130"
"g19195","scaffold_76",621492,623291,0.58,"-",".","Domain of Uncharacterized protein function%2C putative isoform 2","ahrd-qc=***",1799,"AT5G10150"
"g19196","scaffold_76",625316,626928,0.85,"+",".","3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ","ahrd-qc=***",1612,"AT5G10160"
"g19198","scaffold_76",629008,632741,0.67,"-",".","Inositol-3-phosphate synthase","ahrd-qc=***",3733,"AT5G10170"
"g19199","scaffold_76",638086,641941,0.16,"+",".","Sulfate transporter 2.1","ahrd-qc=***",3855,"AT5G10180"
"g19200","scaffold_76",644266,646395,0.14,"+",".","Transporter-related family protein","ahrd-qc=***",2129,"AT5G10190"
"g19201","scaffold_76",646696,649860,0.28,"+",".","Tetratricopeptide repeat protein","ahrd-qc=***",3164,"AT5G10200"
"g19204","scaffold_76",674196,676642,0.36,"+",".","At1g53640/F22G10.8","ahrd-qc=***",2446,"AT1G53645"
"g19205","scaffold_77",46,2823,0.03,"+",".","Cyclic nucleotide-gated channel 18","ahrd-qc=***",2777,"AT5G14870"
"g19206","scaffold_77",9796,12131,0.03,"-",".","Glycosyltransferase","ahrd-qc=***",2335,"AT5G14860"
"g19207","scaffold_77",13005,14231,0.1,"-",".","Unknown protein","",1226,NA
"g19208","scaffold_77",15746,18822,0.56,"+",".","GPI mannosyltransferase 3","ahrd-qc=***",3076,"AT5G14850"
"g19210","scaffold_77",20686,22366,0.33,"+",".","Pyrroline-5-carboxylate reductase","ahrd-qc=***",1680,"AT5G14800"
"g19211","scaffold_77",22597,25281,0.08,"-",".","ARM repeat superfamily protein","ahrd-qc=***",2684,"AT5G14790"
"g19212","scaffold_77",26561,29061,0.32,"-",".","Formate dehydrogenase","ahrd-qc=***",2500,"AT5G14780"
"g19213","scaffold_77",29746,33226,0.13,"+",".","Pentatricopeptide repeat-containing protein","ahrd-qc=***",3480,"AT5G14770"
"g19214","scaffold_77",33455,36981,0.11,"-",".","L-aspartate oxidase","ahrd-qc=***",3526,"AT5G14760"
"g19215","scaffold_77",46176,47714,0.35,"+",".","Transcription factor WER","ahrd-qc=***",1538,"AT5G14750"
"g19217","scaffold_77",56002,56941,0.23,"-",".","At5g14730","ahrd-qc=***",939,"AT5G14730"
"g19218","scaffold_77",59338,60701,0.02,"-",".","Nucleic acid binding protein","ahrd-qc=***",1363,NA
"g19219","scaffold_77",62306,67898,0.46,"+",".","Serine/Threonine kinase family protein","ahrd-qc=***",5592,"AT5G14720"
"g19220","scaffold_77",67958,69551,0.77,"-",".","Proteasome assembly chaperone 3-domain protein","ahrd-qc=***",1593,"AT5G14710"
"g19221","scaffold_77",73726,77015,0.62,"+",".","Cinnamoyl CoA reductase-like protein","ahrd-qc=***",3289,"AT5G14700"
"g19222","scaffold_77",80106,82923,0.24,"+",".","At5g14690","ahrd-qc=***",2817,"AT5G14690"
"g19223","scaffold_77",84116,86007,0.32,"+",".","Universal stress protein family protein","ahrd-qc=***",1891,"AT5G14680"
"g19229","scaffold_77",111396,113883,0.31,"+",".","Peptide deformylase","ahrd-qc=***",2487,"AT5G14660"
"g19230","scaffold_77",114132,116151,0.63,"-",".","Polygalacturonase%2C putative","ahrd-qc=***",2019,"AT5G14650"
"g19231","scaffold_77",120676,123892,0.29,"+",".","Kinase family protein","ahrd-qc=***",3216,"AT5G14640"
"g19232","scaffold_77",124366,127952,0.07,"+",".","DNA (cytosine-5)-methyltransferase DRM2","ahrd-qc=***",3586,"AT5G14620"
"g19233","scaffold_77",129840,134221,0.18,"-",".","DEAD-box ATP-dependent RNA helicase 46","ahrd-qc=***",4381,"AT5G14610"
"g19234","scaffold_77",135192,135661,0.47,"-",".","Unknown protein","",469,"AT5G14602"
"g19235","scaffold_77",135821,137931,0.28,"-",".","tRNA (Adenine(58)-N(1))-methyltransferase catalytic subunit TRMT61A","ahrd-qc=***",2110,"AT5G14600"
